Name,Date,Price
MWG,17/12/2021,66.81 
MWG,16/12/2021,66.37 
MWG,15/12/2021,67.51 
MWG,14/12/2021,67.26 
MWG,13/12/2021,67.01 
MWG,10/12/2021,66.61 
MWG,09/12/2021,66.56 
MWG,08/12/2021,66.51 
MWG,07/12/2021,66.32 
MWG,06/12/2021,65.27 
MWG,03/12/2021,66.32 
MWG,02/12/2021,68.05 
MWG,01/12/2021,69.00 
MWG,30/11/2021,69.00 
MWG,29/11/2021,68.30 
MWG,26/11/2021,70.29 
MWG,25/11/2021,72.03 
MWG,24/11/2021,71.53 
MWG,23/11/2021,71.04 
MWG,22/11/2021,68.85 
MWG,19/11/2021,69.05 
MWG,18/11/2021,69.05 
MWG,17/11/2021,68.50 
MWG,16/11/2021,68.50 
MWG,15/11/2021,69.25 
MWG,12/11/2021,67.56 
MWG,11/11/2021,67.06 
MWG,10/11/2021,65.32 
MWG,09/11/2021,64.58 
MWG,08/11/2021,65.37 
MWG,05/11/2021,65.57 
MWG,04/11/2021,64.53 
MWG,03/11/2021,63.98 
MWG,02/11/2021,64.03 
MWG,01/11/2021,64.58 
MWG,29/10/2021,65.27 
MWG,28/10/2021,65.57 
MWG,27/10/2021,65.57 
MWG,26/10/2021,63.58 
MWG,25/10/2021,63.78 
MWG,22/10/2021,63.39 
MWG,21/10/2021,63.09 
MWG,20/10/2021,64.18 
MWG,19/10/2021,64.43 
MWG,18/10/2021,64.93 
MWG,15/10/2021,65.77 
MWG,14/10/2021,66.32 
MWG,13/10/2021,66.51 
MWG,12/10/2021,65.62 
MWG,11/10/2021,64.33 
MWG,08/10/2021,63.98 
MWG,07/10/2021,63.58 
MWG,06/10/2021,63.73 
MWG,05/10/2021,62.99 
MWG,04/10/2021,62.69 
MWG,01/10/2021,62.69 
MWG,30/09/2021,63.48 
MWG,29/09/2021,63.48 
MWG,28/09/2021,62.94 
MWG,27/09/2021,62.59 
MWG,24/09/2021,64.83 
MWG,23/09/2021,65.57 
MWG,22/09/2021,62.44 
MWG,21/09/2021,61.50 
MWG,20/09/2021,61.10 
MWG,17/09/2021,61.10 
MWG,16/09/2021,61.40 
MWG,15/09/2021,61.90 
MWG,14/09/2021,61.85 
MWG,13/09/2021,62.09 
MWG,10/09/2021,59.06 
MWG,09/09/2021,59.06 
MWG,08/09/2021,55.34 
MWG,07/09/2021,54.79 
MWG,06/09/2021,55.14 
MWG,01/09/2021,54.74 
MWG,31/08/2021,55.14 
MWG,30/08/2021,54.94 
MWG,27/08/2021,81.72 
MWG,26/08/2021,80.47 
MWG,25/08/2021,80.23 
MWG,24/08/2021,79.73 
MWG,23/08/2021,78.54 
MWG,20/08/2021,81.47 
MWG,19/08/2021,85.69 
MWG,18/08/2021,85.69 
MWG,17/08/2021,84.40 
MWG,16/08/2021,84.50 
MWG,13/08/2021,84.94 
MWG,12/08/2021,84.45 
MWG,11/08/2021,86.93 
MWG,10/08/2021,86.38 
MWG,09/08/2021,86.34 
MWG,06/08/2021,85.19 
MWG,05/08/2021,85.94 
MWG,04/08/2021,84.45 
MWG,03/08/2021,84.40 
MWG,02/08/2021,84.40 
MWG,30/07/2021,81.52 
MWG,29/07/2021,80.87 
MWG,28/07/2021,78.04 
MWG,27/07/2021,78.49 
MWG,26/07/2021,79.63 
MWG,23/07/2021,80.32 
MWG,22/07/2021,82.06 
MWG,21/07/2021,81.17 
MWG,20/07/2021,81.77 
MWG,19/07/2021,77.74 
MWG,16/07/2021,83.50 
MWG,15/07/2021,83.01 
MWG,14/07/2021,82.71 
MWG,13/07/2021,86.93 
MWG,12/07/2021,87.73 
MWG,09/07/2021,87.68 
MWG,08/07/2021,85.69 
MWG,07/07/2021,82.36 
MWG,06/07/2021,77.00 
MWG,05/07/2021,82.71 
MWG,02/07/2021,77.89 
MWG,01/07/2021,75.06 
MWG,30/06/2021,75.51 
MWG,29/06/2021,73.02 
MWG,28/06/2021,72.28 
MWG,25/06/2021,71.38 
MWG,24/06/2021,71.53 
MWG,23/06/2021,71.53 
MWG,22/06/2021,72.53 
MWG,21/06/2021,72.43 
MWG,18/06/2021,70.04 
MWG,17/06/2021,69.05 
MWG,16/06/2021,68.05 
MWG,15/06/2021,68.50 
MWG,14/06/2021,68.60 
MWG,11/06/2021,68.05 
MWG,10/06/2021,67.21 
MWG,09/06/2021,67.76 
MWG,08/06/2021,67.56 
MWG,07/06/2021,67.61 
MWG,04/06/2021,68.30 
MWG,03/06/2021,69.05 
MWG,02/06/2021,68.95 
PDR,12/12/2022,15.50 
PDR,09/12/2022,16.50 
PDR,08/12/2022,16.60 
PDR,07/12/2022,15.80 
PDR,06/12/2022,15.50 
PDR,05/12/2022,16.65 
PDR,02/12/2022,15.60 
PDR,01/12/2022,14.60 
PDR,30/11/2022,13.65 
PDR,29/11/2022,12.80 
PDR,28/11/2022,12.00 
PDR,25/11/2022,12.90 
PDR,24/11/2022,13.85 
PDR,23/11/2022,14.85 
PDR,22/11/2022,15.95 
PDR,21/11/2022,17.10 
PDR,18/11/2022,18.35 
PDR,17/11/2022,19.70 
PDR,16/11/2022,21.15 
PDR,15/11/2022,22.70 
PDR,14/11/2022,24.40 
PDR,11/11/2022,26.20 
PDR,10/11/2022,28.15 
PDR,09/11/2022,30.25 
PDR,08/11/2022,32.50 
PDR,07/11/2022,34.90 
PDR,04/11/2022,37.50 
PDR,03/11/2022,40.30 
PDR,02/11/2022,41.80 
PDR,01/11/2022,42.40 
PDR,31/10/2022,43.70 
PDR,28/10/2022,44.60 
PDR,27/10/2022,45.40 
PDR,26/10/2022,45.50 
PDR,25/10/2022,46.70 
PDR,24/10/2022,47.00 
PDR,21/10/2022,48.70 
PDR,20/10/2022,49.00 
PDR,19/10/2022,49.50 
PDR,18/10/2022,49.70 
PDR,17/10/2022,49.60 
PDR,14/10/2022,48.95 
PDR,13/10/2022,48.95 
PDR,12/10/2022,48.65 
PDR,11/10/2022,48.80 
PDR,10/10/2022,50.10 
PDR,07/10/2022,49.50 
PDR,06/10/2022,50.80 
PDR,05/10/2022,51.30 
PDR,04/10/2022,51.10 
PDR,03/10/2022,51.00 
PDR,30/09/2022,51.10 
PDR,29/09/2022,50.80 
PDR,28/09/2022,50.30 
PDR,27/09/2022,50.00 
PDR,26/09/2022,50.40 
PDR,23/09/2022,50.80 
PDR,22/09/2022,51.60 
PDR,21/09/2022,51.60 
