"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2020","35,331","35,690","35,690","35,038","1.64M","-0.91%"
"Oct 15, 2020","35,657","35,527","35,690","34,875","2.64M","0.37%"
"Oct 14, 2020","35,527","34,582","35,527","34,093","3.24M","2.64%"
"Oct 13, 2020","34,614","35,038","35,038","34,484","2.45M","-1.21%"
"Oct 12, 2020","35,038","35,527","35,625","34,712","2.82M","-1.38%"
"Oct 09, 2020","35,527","35,853","36,016","35,364","1.73M","-0.46%"
"Oct 08, 2020","35,690","35,201","35,690","35,103","2.61M","1.77%"
"Oct 07, 2020","35,071","34,288","35,168","33,897","2.88M","2.28%"
"Oct 06, 2020","34,288","34,223","34,516","34,060","3.23M","1.15%"
"Oct 05, 2020","33,897","33,897","34,321","33,734","1.77M","0.00%"
"Oct 02, 2020","33,897","34,223","34,354","32,528","3.98M","-0.95%"
"Oct 01, 2020","34,223","33,995","34,256","33,995","2.34M","0.67%"
"Sep 30, 2020","33,995","34,060","34,223","33,441","3.27M","0.77%"
"Sep 29, 2020","33,734","34,158","34,647","33,734","3.69M","0.49%"
"Sep 28, 2020","33,571","33,115","33,571","32,756","1.90M","2.49%"
"Sep 25, 2020","32,756","32,952","32,985","32,463","3.12M","-0.69%"
"Sep 24, 2020","32,985","32,887","33,180","32,593","3.69M","-0.69%"
"Sep 23, 2020","33,213","32,561","33,571","32,528","3.16M","2.31%"
"Sep 22, 2020","32,463","32,072","32,528","31,648","4.51M","1.22%"
"Sep 21, 2020","32,072","31,127","32,170","30,866","6.46M","4.13%"
"Sep 18, 2020","30,801","30,703","30,899","30,638","1.85M","0.32%"
"Sep 17, 2020","30,703","30,833","30,931","30,377","1.78M","-0.42%"
"Sep 16, 2020","30,833","30,279","31,127","30,116","3.30M","1.83%"
"Sep 15, 2020","30,279","30,312","30,475","30,149","2.36M","-0.11%"
"Sep 14, 2020","30,312","30,573","30,605","30,214","1.64M","-0.43%"
"Sep 11, 2020","30,442","30,605","30,605","30,247","1.31M","-0.53%"
"Sep 10, 2020","30,605","30,638","30,736","30,442","2.23M","0.54%"
"Sep 09, 2020","30,442","29,986","30,573","29,823","1.90M","0.32%"
"Sep 08, 2020","30,345","29,660","30,377","29,497","3.00M","3.10%"
"Sep 07, 2020","29,432","30,638","30,703","29,432","4.47M","-4.04%"
"Sep 04, 2020","30,670","30,345","30,703","30,279","3.05M","-0.74%"
"Sep 03, 2020","30,899","30,573","31,127","30,312","3.18M","1.07%"
